MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,Date/Time,Lat,Lon,Base,DefaultPrice
8.0,24.3,0.0,3.4,6.3,NW,30.0,SW,NW,6.0,20,68,29,1019.7,1015.0,7,7,14.4,23.6,No,3.6,Yes,9/1/2014 0:01:00,40.2201,-74.0021,B02512,10.86572705741236
14.0,26.9,3.6,4.4,9.7,ENE,39.0,E,W,4.0,17,80,36,1012.4,1008.4,5,3,17.5,25.7,Yes,3.6,Yes,9/1/2014 0:01:00,40.75,-74.0027,B02512,10.620244245362237
13.7,23.4,3.6,5.8,3.3,NW,85.0,N,NNE,6.0,6,82,69,1009.5,1007.2,8,7,15.4,20.2,Yes,39.8,Yes,9/1/2014 0:03:00,40.7559,-73.9864,B02512,14.542970118285744
13.3,15.5,39.8,7.2,9.1,NW,54.0,WNW,W,30.0,24,62,56,1005.5,1007.0,2,7,13.5,14.1,Yes,2.8,Yes,9/1/2014 0:06:00,40.745,-73.9889,B02512,11.280958294635406
7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28,68,49,1018.3,1018.5,7,7,11.1,15.4,Yes,0.0,No,9/1/2014 0:11:00,40.8145,-73.9444,B02512,10.53068501028592
6.2,16.9,0.0,5.8,8.2,SE,44.0,SE,E,20.0,24,70,57,1023.8,1021.7,7,5,10.9,14.8,No,0.2,No,9/1/2014 0:12:00,40.6735,-73.9918,B02512,13.001022370180198
6.1,18.2,0.2,4.2,8.4,SE,43.0,SE,ESE,19.0,26,63,47,1024.6,1022.2,4,6,12.4,17.3,No,0.0,No,9/1/2014 0:15:00,40.7471,-73.6472,B02512,12.071221245244882
8.3,17.0,0.0,5.6,4.6,E,41.0,SE,E,11.0,24,65,57,1026.2,1024.2,6,7,12.1,15.5,No,0.0,No,9/1/2014 0:16:00,40.6613,-74.2691,B02512,13.524523133027795
8.8,19.5,0.0,4.0,4.1,S,48.0,E,ENE,19.0,17,70,48,1026.1,1022.7,7,7,14.1,18.9,No,16.2,Yes,9/1/2014 0:32:00,40.3745,-73.9999,B02512,10.967388214348668
8.4,22.8,16.2,5.4,7.7,E,31.0,S,ESE,7.0,6,82,32,1024.1,1020.7,7,1,13.3,21.7,Yes,0.0,No,9/1/2014 0:33:00,40.7633,-73.9773,B02512,10.78363945378057
